data,valor,descricao,identificador
02/12/2024,-56.6,Transferência enviada pelo Pix,-
02/12/2024,56.6,Reembolso recebido pelo Pix,-
02/12/2024,-56.6,Transferência enviada pelo Pix,-
03/12/2024,-3.0,Compra no débito – Lanchonete,-
04/12/2024,-18.0,Compra no débito – Barbershop,-
04/12/2024,-51.44,Compra no débito – TokyoFood,-
07/12/2024,-138.0,Pagamento de fatura,-
10/12/2024,-56.0,Transferência enviada pelo Pix,-
10/12/2024,-119.9,Pagamento de fatura,-
12/12/2024,-20.0,Compra de criptomoedas,-
14/12/2024,8.0,Compra de criptomoedas,-
14/12/2024,9.17,Venda de criptomoedas,-
16/12/2024,2.17,Venda de criptomoedas,-
17/12/2024,585.0,Transferência recebida pelo Pix,-
20/12/2024,585.0,Transferência recebida pelo Pix,-
